Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,A,B,Bridge,ED,Meta Description,Meta Features,Lens Color,Frame Colo,SKU,Lifestyle,Fit,Category,Gender,Frame Material,Shape,Mount,Polar/Non Polar,Lens Material
liberty-street-series,,,,,,,,Neon Tag,,,,,6771,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_neon_tag_480x480.png,8,[Neon Tag],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_neon_tag_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Peace & Love,,,,,6816,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_peace_love_480x480.png,9,[Peace & Love],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_peace_love_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Raceway,,,,,6792,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_raceway_480x480.png,10,[Raceway],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_raceway_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Shatter,,,,,6807,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_shatter_480x480.png,11,[Shatter],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_shatter_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Sword Totem,,,,,6783,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_sword_totem_480x480.png,12,[Sword Totem],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_sword_totem_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift,Liberty Sport Shift,"<p>Sport Shift has been designed for multi-sport athletes that like to change from a frame to a goggle as they shift from sport to sport. Suitable for Racquetball, Tennis, Squash, Soccer, Basketball and more, Sport Shift allows you to adapt your prescription</p>",Liberty,Sunglasses,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-XXXXX, Shape-XXXXX, Frame Color-Matte Black/Red,Frame Color-Shiny Crimson/White,Frame Color-Shiny Navy/Violet,Frame Color-Shiny Navy/White, Lens Color-Red,Lens Color-White,Lens Color-Violet,Lens Color-White",True,Frame Color/Lens Color,Matte Black/Red,,,,,6456,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/s/sshift_mbrd_7420a0f1-09e5-4275-90a6-3fab71ce47d7.jpg,1,[Matte Black/Red],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/s/sshift_mbrd_7420a0f1-09e5-4275-90a6-3fab71ce47d7.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift,,,,,,,,Shiny Crimson/White,,,,,6468,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_crimson_088d89f9-fed0-4196-9c16-bf6424faeede.jpg,2,[Shiny Crimson/White],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_crimson_088d89f9-fed0-4196-9c16-bf6424faeede.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift,,,,,,,,Shiny Navy/Violet,,,,,6459,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/s/sshift_snbv_8da0c88e-46cb-402a-9707-382c8e45a039.jpg,3,[Shiny Navy/Violet],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/s/sshift_snbv_8da0c88e-46cb-402a-9707-382c8e45a039.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift,,,,,,,,Shiny Navy/White,,,,,6450,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_shiny_navy_03e5ca60-e450-4846-be40-dcd126dc0101.jpg,4,[Shiny Navy/White],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_shiny_navy_03e5ca60-e450-4846-be40-dcd126dc0101.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift-xl,Liberty Sport Shift Xl,<p>Features and Benefits: Interchangeable temple and goggle attachments gives you two frames in one. Endpiece cutouts allow for better peripheral vision and venting.</p>,Liberty,Sunglasses,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Male, Shape-XXXXX, Frame Color-Gunmetal Fade/Orange,Frame Color-Matte Black/Cyan,Frame Color-Matte Navy/Green,Frame Color-Shiny Crimson/White,Frame Color-Shiny Navy/White, Lens Color-Orange,Lens Color-Cyan,Lens Color-Green,Lens Color-White,Lens Color-White",True,Frame Color/Lens Color,Gunmetal Fade/Orange,,,,,6572,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/l/i/liberty_sshiftxl_gm_5717135_csf_product136_adjusted_480x480.jpg,1,[Gunmetal Fade/Orange],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/l/i/liberty_sshiftxl_gm_5717135_csf_product136_adjusted_480x480.jpg,lb,,,,,,,,,,,,,,,,,,,,
